"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"2722","Blacknose Shark",2019,"Longline",27.6202,-83.6648,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2723","Dogfish, Smooth (Florida)",2019,"Longline",26.7216,-96.4875,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2724","Atlantic Sharpnose Shark",2022,"Longline",26.3381,-82.9979,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Small (Less than 1m)"
"2725","Dogfish, Smooth (Florida)",2020,"Longline",25.6006,-84.0114,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2726","Sandbar Shark",2018,"Longline",24.5952,-83.4671,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"2727","Atlantic Sharpnose Shark",2020,"Longline",27.3092,-96.3584,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2728","Blacknose Shark",2019,"Longline",27.597,-83.5825,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2729","Sandbar Shark",2023,"Longline",27.6996,-83.8313,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"2730","Dogfish, Smooth (Florida)",2020,"Longline",27.1794,-96.4353,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"2731","Dogfish, Smooth (Florida)",2019,"Longline",27.1265,-83.9477,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2732","Blacknose Shark",2018,"Longline",27.7836,-84.02,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2733","Dogfish, Smooth (Florida)",2020,"Longline",27.1795,-96.4024,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2734","Atlantic Sharpnose Shark",2021,"Longline",26.1211,-82.9174,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Small (Less than 1m)"
"2735","Night Shark",2017,"Longline",26.7678,-84.7625,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2736","Tiger Shark",2020,"Longline",27.5747,-83.4892,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"2737","Scalloped Hammerhead",2019,"Longline",28.1701,-90.4847,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"2738","Dogfish, Smooth (Florida)",2019,"Longline",28.2159,-90.3216,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2739","Dogfish, Smooth (Florida)",2022,"Longline",27.304,-96.2523,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2740","Dogfish, Spiny (Cuban)",2023,"Longline",28.5509,-85.812,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2741","Dogfish, Smooth (Florida)",2019,"Longline",28.2229,-90.2499,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"2742","Dogfish, Smooth (Florida)",2019,"Longline",28.2504,-90.1425,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2743","Dogfish, Smooth (Florida)",2021,"Longline",27.6004,-93.4797,"Unknown Handling","Live - Healthy","Discarded - Unknown","Female","Small (Less than 1m)"
"2744","Shark, Unidentified",2019,"Longline",28.3063,-90.0028,"Not Handled (Dropped Off)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2745","Atlantic Sharpnose Shark",2022,"Longline",27.312,-83.6497,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"2746","Shark, Unidentified",2022,"Longline",26.475,-83.2308,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2747","Atlantic Sharpnose Shark",2019,"Longline",28.1381,-90.5499,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2748","Atlantic Sharpnose Shark",2023,"Longline",26.3915,-83.1366,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2749","Blacknose Shark",2023,"Longline",25.6391,-82.7463,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2750","Dogfish, Spiny (Cuban)",2023,"Longline",28.6931,-85.934,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2751","Night Shark",2019,"Longline",27.8187,-95.2324,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Known Juvenile","Small (Less than 1m)"
"2752","Atlantic Sharpnose Shark",2016,"Longline",24.729,-83.1838,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"2753","Dogfish, Spiny (Cuban)",2020,"Longline",27.7094,-93.7889,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2754","Dogfish, Smooth (Florida)",2019,"Longline",28.191,-90.2685,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2755","Dogfish, Spiny (Cuban)",2021,"Longline",27.6406,-93.3851,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2756","Atlantic Sharpnose Shark",2024,"Longline",28.4437,-84.7039,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Male (Claspers)","Small (Less than 1m)"
"2757","Atlantic Sharpnose Shark",2019,"Longline",28.2323,-90.2674,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Medium (Between 1m and 2m)"
"2758","Dogfish, Smooth (Florida)",2019,"Longline",28.2237,-90.2168,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2759","Sandbar Shark",2018,"Longline",28.606,-84.8841,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"2760","Blacknose Shark",2020,"Longline",26.6227,-83.1587,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"2761","Dogfish, Smooth (Florida)",2019,"Longline",28.2699,-90.0342,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
