"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"902","Dogfish, Smooth (Florida)",2021,"Longline",28.7937,-85.4118,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"903","Dogfish, Smooth (Florida)",2019,"Longline",28.1073,-91.0621,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"904","Dogfish, Spiny (Cuban)",2020,"Longline",27.6074,-93.114,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"905","Dogfish, Smooth (Florida)",2019,"Longline",28.1077,-91.097,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Female","Medium (Between 1m and 2m)"
"906","Sandbar Shark",2020,"Longline",26.3474,-83.1526,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"907","Dogfish, Smooth (Florida)",2019,"Longline",28.1344,-90.5499,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"908","Sandbar Shark",2021,"Longline",28.5986,-85.1441,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"909","Dogfish, Smooth (Florida)",2019,"Longline",29.2227,-85.8531,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"910","Sandbar Shark",2019,"Longline",25.9447,-83.687,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"911","Dogfish, Smooth (Florida)",2020,"Longline",27.1885,-96.3509,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"912","Dogfish, Smooth (Florida)",2019,"Longline",26.5839,-96.3812,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"913","Sandbar Shark",2021,"Longline",26.9901,-84.0338,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"914","Dogfish, Smooth (Florida)",2019,"Longline",28.2253,-90.2442,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"915","Shark, Unidentified",2024,"Longline",26.3385,-83.1645,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"916","Atlantic Sharpnose Shark",2018,"Longline",27.3006,-84.1105,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"917","Dogfish, Smooth (Florida)",2019,"Longline",26.5405,-96.3868,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"918","Atlantic Sharpnose Shark",2018,"Longline",26.9895,-83.8707,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"919","Dogfish, Smooth (Florida)",2019,"Longline",28.2041,-90.2685,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"920","Dogfish, Spiny (Cuban)",2019,"Longline",27.7584,-92.8261,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"921","Blacknose Shark",2023,"Longline",25.5741,-82.7264,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"922","Atlantic Sharpnose Shark",2019,"Longline",25.9586,-82.9421,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"923","Atlantic Sharpnose Shark",2023,"Longline",27.2046,-83.5993,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"924","Scalloped Hammerhead",2022,"Longline",27.4952,-96.1245,"Cut-off at Rail (Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"925","Sandbar Shark",2021,"Longline",26.2796,-83.0451,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Large (Greater than 2m)"
"926","Silky Shark",2019,"Longline",28.2828,-90.0098,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Known Juvenile","Medium (Between 1m and 2m)"
"927","Dogfish, Spiny (Cuban)",2023,"Longline",27.8368,-94.0845,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"928","Dogfish, Spiny (Cuban)",2018,"Longline",28.7924,-86.0129,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"929","Dogfish, Smooth (Florida)",2020,"Longline",27.1798,-96.4189,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"930","Sandbar Shark",2022,"Longline",26.7589,-83.7069,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"931","Scalloped Hammerhead",2023,"Longline",25.4229,-82.8308,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"932","Dogfish, Spiny (Cuban)",2023,"Longline",28.5204,-85.7594,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"933","Nurse Shark",2018,"Longline",25.0624,-83.5065,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"934","Atlantic Sharpnose Shark",2016,"Longline",24.6371,-83.3814,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"935","Dogfish, Spiny (Cuban)",2016,"Longline",27.7906,-85.0007,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"936","Tiger Shark",2023,"Longline",28.7998,-84.6011,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"937","Dogfish, Spiny (Cuban)",2023,"Longline",28.6946,-85.8602,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"938","Sandbar Shark",2020,"Longline",27.8305,-83.6597,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"939","Sharpnose Sevengill Shark",2023,"Longline",28.578,-85.7894,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"940","Sixgill Shark (all)",2023,"Longline",28.5414,-85.7526,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"941","Atlantic Sharpnose Shark",2022,"Longline",26.3506,-83.1407,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"942","Dogfish, Smooth (Florida)",2019,"Longline",27.8914,-94.5264,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Female","Medium (Between 1m and 2m)"
"943","Shark, Unidentified",2016,"Longline",24.7379,-83.1845,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"944","Shark, Unidentified",2021,"Longline",26.7668,-83.1054,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"945","Dogfish, Smooth (Florida)",2022,"Longline",27.3719,-96.2254,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"946","Dogfish, Spiny (Cuban)",2022,"Longline",27.1659,-96.2544,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"947","Atlantic Sharpnose Shark",2020,"Longline",27.8239,-83.6581,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"948","Sharpnose Sevengill Shark",2019,"Longline",27.8398,-91.4877,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"949","Atlantic Sharpnose Shark",2019,"Longline",28.1503,-90.5744,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"950","Dogfish, Smooth (Florida)",2019,"Longline",28.1261,-90.5585,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"951","Dogfish, Smooth (Florida)",2021,"Longline",27.9295,-93.1893,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"952","Great Hammerhead",2022,"Longline",27.1067,-83.4178,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"953","Scalloped Hammerhead",2022,"Longline",27.4953,-96.1328,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"954","Dogfish, Smooth (Florida)",2019,"Longline",28.227,-90.2439,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"955","Nurse Shark",2022,"Longline",28.5214,-84.439,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"956","Dogfish, Smooth (Florida)",2019,"Longline",28.3453,-89.9504,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"957","Nurse Shark",2022,"Longline",25.8821,-83.5241,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"958","Atlantic Sharpnose Shark",2022,"Longline",26.4497,-83.175,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"959","Shortfin Mako",2021,"Longline",27.8633,-91.3237,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"960","Sandbar Shark",2019,"Longline",26.692,-96.4794,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"961","Atlantic Sharpnose Shark",2021,"Longline",26.375,-83.2053,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"962","Dogfish, Smooth (Florida)",2020,"Longline",27.1741,-96.3642,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"963","Dogfish, Smooth (Florida)",2019,"Longline",28.1659,-90.2307,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"964","Atlantic Sharpnose Shark",2023,"Longline",27.6544,-84.2842,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Male (Claspers)","Small (Less than 1m)"
"965","Silky Shark",2021,"Longline",27.054,-83.9557,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Known Juvenile","Small (Less than 1m)"
"966","Shark, Unidentified",2020,"Longline",28.004,-92.5818,"Brought on Board (Retained/Discarded)","Dead on Arrival - Damaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"967","Scalloped Hammerhead",2019,"Longline",28.2517,-90.1538,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"968","Nurse Shark",2022,"Longline",26.8339,-83.4049,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"969","Dogfish, Smooth (Florida)",2019,"Longline",28.2009,-90.268,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"970","Dogfish, Spiny (Cuban)",2021,"Longline",27.7373,-93.691,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"971","Sandbar Shark",2021,"Longline",26.2753,-83.0643,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"972","Atlantic Sharpnose Shark",2024,"Longline",25.7588,-83.5056,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"973","Hammerhead, Unidentified",2019,"Longline",28.263,-90.1205,"Cut-off at Rail (No Entanglement)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"974","Dogfish, Spiny (Cuban)",2023,"Longline",28.668,-85.849,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"975","Dogfish, Spiny (Cuban)",2019,"Longline",27.7192,-94.4808,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"976","Sharpnose Sevengill Shark",2022,"Longline",27.0023,-96.299,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"977","Dogfish, Spiny (Cuban)",2019,"Longline",27.7589,-92.8484,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"978","Dogfish, Smooth (Florida)",2020,"Longline",28.021,-92.6212,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Female","Small (Less than 1m)"
"979","Dogfish, Smooth (Florida)",2019,"Longline",28.2328,-90.2711,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"980","Scalloped Hammerhead",2023,"Longline",27.8907,-91.8223,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"981","Atlantic Sharpnose Shark",2021,"Longline",28.0793,-84.3027,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"982","Dogfish, Spiny (Cuban)",2022,"Longline",29.1884,-86.1707,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"983","Atlantic Sharpnose Shark",2019,"Longline",28.1557,-90.5653,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"984","Sandbar Shark",2021,"Longline",26.3581,-83.7771,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"985","Atlantic Sharpnose Shark",2022,"Longline",26.3533,-83.1251,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Small (Less than 1m)"
"986","Dogfish, Spiny (Cuban)",2019,"Longline",27.75,-95.3141,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"987","Sandbar Shark",2022,"Longline",27.4746,-83.7419,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"988","Blacknose Shark",2023,"Longline",28.1593,-83.8791,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"989","Dogfish, Spiny (Cuban)",2021,"Longline",27.7669,-93.7832,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"990","Sandbar Shark",2021,"Longline",27.0933,-83.3034,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Large (Greater than 2m)"
"991","Sandbar Shark",2018,"Longline",26.8762,-83.1542,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"992","Tiger Shark",2020,"Longline",27.9774,-83.7118,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"993","Tiger Shark",2020,"Longline",26.7963,-83.4173,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"994","Dogfish, Spiny (Cuban)",2023,"Longline",27.7945,-92.1711,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"995","Silky Shark",2022,"Bandit",28.9148,-84.5074,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"996","Atlantic Sharpnose Shark",2018,"Longline",27.7844,-84.0112,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"997","Dogfish, Spiny (Cuban)",2023,"Longline",27.6951,-93.7841,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"998","Silky Shark",2022,"Longline",28.0466,-83.8387,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"999","Blacknose Shark",2020,"Longline",26.8013,-83.3984,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1000","Dogfish, Spiny (Cuban)",2021,"Longline",27.6331,-93.5268,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1001","Tiger Shark",2021,"Longline",26.9895,-84.0334,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1002","Night Shark",2017,"Longline",26.0048,-84.1705,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"1003","Tiger Shark",2020,"Longline",27.8186,-83.6658,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1004","Atlantic Sharpnose Shark",2019,"Longline",28.236,-90.2453,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Medium (Between 1m and 2m)"
"1005","Tiger Shark",2022,"Longline",27.9078,-83.6772,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1006","Silky Shark",2019,"Longline",26.3244,-83.8909,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1007","Dogfish, Smooth (Florida)",2021,"Longline",27.8729,-93.1899,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"1008","Blacknose Shark",2023,"Longline",27.4313,-83.505,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1009","Dogfish, Smooth (Florida)",2022,"Longline",27.3579,-96.2719,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1010","Dogfish, Spiny (Cuban)",2020,"Longline",27.6018,-93.4028,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1011","Silky Shark",2020,"Longline",27.1431,-83.5522,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Known Juvenile","Medium (Between 1m and 2m)"
"1012","Tiger Shark",2018,"Longline",24.5785,-83.4553,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"1013","Shark, Unidentified",2020,"Longline",26.3052,-84.4531,"Cut-off at Rail (No Entanglement)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1014","Dogfish, Smooth (Florida)",2019,"Longline",28.1255,-90.5654,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1015","Dogfish, Spiny (Cuban)",2023,"Longline",27.7677,-92.1282,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1016","Atlantic Sharpnose Shark",2022,"Longline",26.3518,-83.1046,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Dead","Female","Small (Less than 1m)"
"1017","Blacknose Shark",2018,"Longline",27.8414,-83.9162,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"1018","Dogfish, Smooth (Florida)",2020,"Longline",26.9993,-84.0193,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1019","Dogfish, Smooth (Florida)",2019,"Longline",28.1981,-90.2799,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"1020","Dogfish, Spiny (Cuban)",2023,"Longline",28.7148,-85.8811,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1021","Dogfish, Spiny (Cuban)",2020,"Longline",27.6055,-93.0869,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Male (Claspers)","Medium (Between 1m and 2m)"
"1022","Dogfish, Smooth (Florida)",2021,"Longline",27.9284,-93.1896,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1023","Dogfish, Spiny (Cuban)",2023,"Longline",28.5938,-85.8167,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1024","Dogfish, Smooth (Florida)",2023,"Longline",28.7124,-84.4923,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"1025","Shark, Unidentified",2021,"Longline",27.4696,-83.4736,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1026","Dogfish, Spiny (Cuban)",2023,"Longline",28.5078,-85.7523,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1027","Atlantic Sharpnose Shark",2019,"Longline",28.1026,-91.0966,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1028","Dogfish, Smooth (Florida)",2019,"Longline",28.1471,-90.564,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"1029","Nurse Shark",2023,"Longline",25.4014,-82.8411,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"1030","Sandbar Shark",2021,"Longline",27.3277,-84.3187,"Not Handled (Dropped Off)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"1031","Dogfish, Smooth (Florida)",2017,"Longline",26.8225,-84.7795,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"1032","Dogfish, Smooth (Florida)",2021,"Longline",29.03,-86.0919,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"1033","Sandbar Shark",2022,"Longline",27.1728,-83.6554,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
